 ev_id  lat  lon  dep YYYY  MM  DD  HH mm ss
        1  -8.289702  115.487817     1.026  2017 10 18  2  4 50.510
        2  -8.284549  115.458211     6.666  2017 10 18  2 17 43.980
        3  -8.314880  115.427189     5.314  2017 10 18  2 22 38.230
        4  -8.288098  115.454500     6.583  2017 10 18  2 31 31.530
        6  -8.307539  115.483984     0.987  2017 10 18  2 35 24.350
        7  -8.292469  115.487467     1.144  2017 10 18  2 37 29.050
        8  -8.297007  115.436816     9.887  2017 10 18  2 44 31.360
        9  -8.286490  115.460295     7.449  2017 10 18  2 45  6.000
       10  -8.279189  115.468424     5.774  2017 10 18  2 47 17.560
       11  -8.266429  115.479093     6.455  2017 10 18  2 54 43.770
       12  -8.274830  115.484351     5.390  2017 10 18  2 55 53.660
       13  -8.291560  115.487508     0.985  2017 10 18  3  1  8.580
       14  -8.275332  115.485815     2.549  2017 10 18  3  3 20.870
       15  -8.268621  115.463574     7.858  2017 10 18  3  5 39.230
       16  -8.302464  115.442489    11.145  2017 10 18  3  6 42.460
       17  -8.300056  115.449162     8.959  2017 10 18  3 11 26.650
       18  -8.292448  115.488346     1.106  2017 10 18  3 14 47.180
       19  -8.283535  115.440324    11.178  2017 10 18  3 27 17.510
       20  -8.300792  115.446273     9.355  2017 10 18  3 30 36.280
       21  -8.303060  115.424845     4.875  2017 10 18  3 32 49.040
       22  -8.287928  115.487809     1.054  2017 10 18  3 33 42.300
       24  -8.285248  115.491479     0.715  2017 10 18  3 40 26.830
       25  -8.291747  115.489673     1.115  2017 10 18  3 41  3.690
       26  -8.282220  115.466081     5.735  2017 10 18  3 56 14.110
       27  -8.271960  115.490967     2.438  2017 10 18  4  0 59.350
       28  -8.279927  115.442326     9.923  2017 10 18  4  1 25.420
       29  -8.292716  115.447135     8.079  2017 10 18  4  2 32.090
       30  -8.295068  115.486694     1.118  2017 10 18  4  8 37.660
       31  -8.287195  115.464331     2.848  2017 10 18  4  9 12.440
       32  -8.292616  115.487817     1.108  2017 10 18  4 12 31.960
       33  -8.279129  115.464372     6.061  2017 10 18  4 13 28.200
       34  -8.291803  115.490999     1.061  2017 10 18  4 16 42.150
       35  -8.289899  115.445801     6.350  2017 10 18  4 21 58.260
       36  -8.288418  115.487980     1.165  2017 10 18  4 24 46.960
       37  -8.291895  115.489494     1.214  2017 10 18  4 27 18.990
       38  -8.297203  115.489478     1.043  2017 10 18  4 33 41.330
       39  -8.245468  115.468327     8.813  2017 10 18  4 34 20.770
       40  -8.292186  115.488159     1.058  2017 10 18  4 36 32.070
       41  -8.287283  115.445304     6.942  2017 10 18  4 38 18.350
       43  -8.286528  115.404899    10.664  2017 10 18  5  3  4.100
       44  -8.322640  115.403507     8.027  2017 10 18  5  8 13.440
       45  -8.292503  115.487305     1.100  2017 10 18  5 10 33.380
       46  -8.296375  115.439600     9.930  2017 10 18  5 16 33.950
       47  -8.291998  115.487948     1.071  2017 10 18  5 17 18.910
       48  -8.290393  115.435205     7.811  2017 10 18  5 27 21.790
       49  -8.286328  115.442839     7.011  2017 10 18  5 32 58.620
       50  -8.293484  115.488867     0.906  2017 10 18  5 37 22.660
       51  -8.271576  115.481274     5.442  2017 10 18  5 38 12.180
       52  -8.288585  115.489738     1.253  2017 10 18  5 41 30.880
       53  -8.280432  115.464819     6.141  2017 10 18  5 42 24.170
       54  -8.285877  115.491130     0.944  2017 10 18  5 44 16.410
