Magnitude,Date,Year,Month,Day,Northing,Easting,Depth,snr
1.8072128,6:28:31 AM,2017,10,18,-8.287522,115.493376,-1156,4.155082132
2.287678909,6:30:55 AM,2017,10,18,-8.280523,115.467537,-5827,20.52919831
2.756025634,6:32:43 AM,2017,10,18,-8.310319,115.425749,-7168,36.64212796
1.501022166,6:37:57 AM,2017,10,18,-8.310056,115.462386,-8249,2.20047092
1.581215649,6:38:42 AM,2017,10,18,-8.292608,115.488241,-990,2.858914562
2.195414018,6:41:52 AM,2017,10,18,-8.285619,115.431771,-8945,9.430211272
2.071330462,6:43:40 AM,2017,10,18,-8.281508,115.463802,-6238,7.377664904
2.078910664,6:47:12 AM,2017,10,18,-8.300986,115.420776,-7314,2.130907202
3.024119647,6:47:44 AM,2017,10,18,-8.283021,115.44681,-11100,52.38226132
1.675573916,6:50:50 AM,2017,10,18,-8.283881,115.494417,-650,3.712896271
1.567947349,6:55:04 AM,2017,10,18,-8.292259,115.487785,-890,3.752963411
1.787661762,6:56:02 AM,2017,10,18,-8.291816,115.487899,-919,3.23818014
1.933805424,7:01:06 AM,2017,10,18,-8.319908,115.429338,-9518,3.343362611
1.800627986,7:01:48 AM,2017,10,18,-8.295175,115.487012,-1084,2.640652062
1.624687642,7:04:22 AM,2017,10,18,-8.286808,115.492814,-1205,3.192526929
1.862830402,7:06:53 AM,2017,10,18,-8.271106,115.491455,-610,9.386674619
2.176317012,7:12:37 AM,2017,10,18,-8.295677,115.431763,-6950,3.122739315
2.389278874,7:14:30 AM,2017,10,18,-8.296876,115.440234,-7371,29.34257302
1.703764295,7:17:19 AM,2017,10,18,-8.278781,115.474601,-4978,3.376609
1.45772705,7:21:52 AM,2017,10,18,-8.28639,115.492074,-947,2.405399512
1.797208319,7:23:10 AM,2017,10,18,-8.291938,115.488192,-965,4.806495554
1.613577432,7:27:10 AM,2017,10,18,-8.28072,115.469889,-4995,2.426689247
1.966105832,7:29:44 AM,2017,10,18,-8.279018,115.468522,-5421,4.876531852
1.890841356,7:30:55 AM,2017,10,18,-8.283141,115.446541,-8662,4.330058037
1.980918798,7:31:15 AM,2017,10,18,-8.292525,115.489315,-1098,5.215872191
1.5808218,7:42:47 AM,2017,10,18,-8.293366,115.487443,-1245,2.80456636
1.383566481,7:45:51 AM,2017,10,18,-8.286731,115.488322,-1054,3.693388001
2.106574794,7:47:40 AM,2017,10,18,-8.284253,115.458732,-5894,9.297236674
1.836462836,7:49:05 AM,2017,10,18,-8.281906,115.497974,-838,4.565190124
1.984672789,7:50:35 AM,2017,10,18,-8.275763,115.477987,-4149,4.306576546
